Model,Accuracy,F1 Score,Precision,Recall,CV F1 Mean,CV F1 Std
Random Forest Classifier,0.8795656465942744,0.871578947368421,0.9409090909090909,0.8117647058823529,0.8873198472265145,0.0036718432136544415
K-Nearest Neighbors,0.8025666337611056,0.8324958123953099,0.7266081871345029,0.9745098039215686,0.8083387455710117,0.006087493688565632
Logistic Regression,0.7018756169792695,0.7177570093457943,0.6857142857142857,0.7529411764705882,0.7111965735404202,0.0037699345158762948
Ridge Classifier,0.6989141164856861,0.7173308619091752,0.680140597539543,0.7588235294117647,0.7012378011716819,0.007798051559130944
