Model,RMSE,MAE,R² Score,CV RMSE Mean,CV RMSE Std
Linear Regression,16.98575145335809,8.980267868674634,-0.9233123191126853,12.333323956691407,0.2836525022901505
Ridge Regression,13.502956872871676,8.49599777079307,-0.21545264944668885,11.737138597077282,0.41287664839570687
Lasso Regression,14.643455762190754,8.642849713588994,-0.4294449759875978,11.79027352557729,0.4057118272926017
ElasticNet Regression,12.401046626850084,8.386211513155226,-0.025172538957933366,11.731230936907588,0.429672520515031
Support Vector Regressor,12.161755601793757,7.988606725582837,0.01400928103329735,12.622515287820736,0.7668858113330402
