Model,RMSE,MAE,R² Score,CV RMSE Mean,CV RMSE Std
Ridge Regression,10.837207289791413,7.9719512798599235,0.14734586064355637,11.160623361328003,0.4204335863993783
Lasso Regression,10.847476695137082,7.937993183019934,0.14572913421551492,11.157388705531154,0.48528032769386825
ElasticNet Regression,10.879877992913151,7.974126379279769,0.14061811629930787,11.181019798576497,0.4935824057040714
Linear Regression,11.10073919506988,8.149063913463259,0.10537312089646844,12.658731231018834,1.6956336866402264
Support Vector Regressor,11.494856967044562,7.639486988172586,0.04072022727411995,11.968682719444786,0.6474148542263215
