Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
SSNC US,SS&C Technologies Holdings Inc,185.007,6.8,12.9,4,69.1912,15,0.5333333611,1037.87,3/31/10,78467J100,5.6,2.28E+08,"13.00
 - 15.00
",Priced Within Range,Software,Technology,Enterprise Software/Serv,92.6868
2556796D US,Team Health Holdings Inc,183.54,27.5,2.3,0.6,64.396,12,6.75,772.75,12/16/09,87817A107,2,,"14.00
 - 16.00
",Priced Below Range,Healthcare-Services,"Consumer, Non-cyclical",Phys Practice Mgmnt,
GRM US,Graham Packaging Co Inc,182.317,,,0.8,61.2311,10,2,612.31,2/11/10,384701108,,,"10.00
 - 11.00
",Priced Within Range,Packaging&Containers,Industrial,Containers-Paper/Plastic,
FTNT US,Fortinet Inc,179.688,12.2,29.3,20.5,66.269,12.5,32.95999908,828.36,11/18/09,3.50E+113,2.9,5.75E+08,"9.00
 - 11.00
",Priced Above Range,Computers,Technology,Computer Data Security,74.7735
VSI US,Vitamin Shoppe Inc,177.828,-2.8,-0.3,-1.4,26.5723,17,5.588235378,451.73,10/28/09,9.28E+105,3.8,,"14.00
 - 16.00
",Priced Above Range,Retail,"Consumer, Cyclical",Retail-Vitamins/Nutr Sup,
TRNO US,Terreno Realty Corp,175,18.2,48.2,4.2,15.6245,20,-6.75,312.49,2/10/10,88146M101,2.4,1.31E+08,"20.00
 - 20.00
",Priced Within Range,REITS,Financial,REITS-Warehouse/Industr,127.227
EGGZ US,Newegg Inc,175,-6.5,0.0094553,,0,0,,0, ,N.A.,,, ,,Internet,Communications,E-Commerce/Products,
CLDT US,Chatham Lodging Trust,172.5,1.9,1.3,0.3,8.07655,20,2.5,161.53,4/16/10,16208T102,1.5,4.14E+07,"20.00
 - 20.00
",Priced Within Range,REITS,Financial,REITS-Hotels,84.5526
3461027Z US,Blue Yonder Holding Inc,172.5,15.6,3.6,,0,0,,0,3/26/10,N.A.,,, ,,Software,Technology,Enterprise Software/Serv,
WMC US,Western Asset Mortgage Capital Corp,160,-31.1,-119.9,-0.4,10.3335,20,-6.150000095,206.67,5/10/12,95790D204,2.5,1.38E+06,"20.00
 - 20.00
",Priced Within Range,REITS,Financial,REITS-Mortgage,22.8886
CHSP US,Chesapeake Lodging Trust,151.717,-0.1,16.2,4.7,9.319,20,-5,186.38,1/22/10,165240102,2.6,,"20.00
 - 20.00
",Priced Within Range,REITS,Financial,REITS-Hotels,
KRA US,Kraton Corp,150.946,26,8.6,6.6,30.5962,13.5,0.07407407463,413.05,12/17/09,50077C106,5.3,5.44E+06,"16.00
 - 18.00
",Priced Below Range,Chemicals,Basic Materials,Chemicals-Specialty,16.8929
HSFD US,Hirschfeld Industries Inc,150,,,,0,0,,0,11/23/10,433551108,,, ,,Iron/Steel,Basic Materials,Steel-Producers,
QNST US,QuinStreet Inc,150,5.6,-5.1,-3.3,44.9126,15,0,673.69,2/11/10,74874Q100,0.2,6.00E+07,"17.00
 - 19.00
",Priced Below Range,Internet,Communications,E-Marketing/Info,106.292
RUE US,rue21 inc,147.825,18.6,4.8,8.6,24.1607,19,27.89473724,459.05,11/13/09,781295100,3,,"16.00
 - 18.00
",Priced Above Range,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,
FNGN US,Financial Engines Inc,146.28,13.3,9.7,5.7,41.0956,12,43.75,493.15,3/16/10,317485100,1.9,,"9.00
 - 11.00
",Priced Above Range,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,
STRI US,STR Holdings Inc,139.95,-19.6,-52.9,-32.9,41.3497,10,31,413.5,11/6/09,78478V209,-0.2,,"11.00
 - 13.00
",Priced Below Range,Miscellaneous Manufactur,Industrial,Advanced Materials/Prd,
9990827D US,R1 RCM Holdco Inc,138,,,,91.0157,12,12.91666698,1092.19,5/20/10,749397105,,1.84E+07,"14.00
 - 16.00
",Priced Below Range,Commercial Services,"Consumer, Non-cyclical",Consulting Services,6.59249
1627716D US,Smile Brands Group Inc,132.354,2.5,10,,19.4684,0,,0,5/25/10,83172M109,,439,"16.00
 - 18.00
",,Commercial Services,"Consumer, Non-cyclical",Commercial Services,0.00362349
BUR LN,Burford Capital Ltd,127.112,-57.7,24.9,2.4,0,100,7.5,0, ,N.A.,0.9,1.55E+08, ,,Diversified Finan Serv,Financial,Finance-Commercial,70.8155
JMT US,Nuveen Mortgage Opportunity Term Fund 2,120,,,,4.8,25,0.03999999911,120,2/24/10,67074R100,,,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
OABC US,OmniAmerican Bancorp Inc,119.025,-1.8,11.2,0.4,0,10,18.5,0,1/21/10,68216R107,2.3,,"10.00
 - 10.00
",Priced Within Range,Banks,Financial,Commer Banks-Central US,
ARCL US,Archipelago Learning Inc,118.594,24.9,16.3,4.1,25.1067,16.5,13.75757599,414.26,11/20/09,03956P102,1,,"15.00
 - 17.00
",Priced Within Range,Internet,Communications,Internet Content-Info/Ne,
2087572D US,Imperial Capital Group Inc,113.333,2.3,10.2,,6.66667,0,,0, ,452689102,,,"15.00
 - 17.00
",,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,
CLU US,Cellu Tissue Holdings Inc,107.9,,,-1.2,20.123,13,-8.461538315,261.6,1/22/10,151169109,,,"15.00
 - 17.00
",Priced Below Range,Cosmetics/Personal Care,"Consumer, Non-cyclical",Cosmetics&Toiletries,
GBDC US,Golub Capital BDC Inc,107.372,20.1,37.7,4.2,17.7124,14.5,1.448275805,256.83,4/15/10,38173M102,1.7,1.24E+08,"15.00
 - 16.00
",Priced Below Range,Investment Companies,Financial,Investment Companies,46.8281
MXL US,MaxLinear Inc,103.75,-48,-68,-25.2,30.4111,14,33.57143021,425.76,3/24/10,57776J100,-0.5,7.39E+07,"11.00
 - 13.00
",Priced Above Range,Semiconductors,Technology,Semicon Compo-Intg Circu,85.5374
MDSO US,Medidata Solutions Inc,101.43,16.8,8.1,4.1,23.2987,14,21.4285717,326.18,6/25/09,58471A105,1.5,,"11.00
 - 13.00
",Priced Above Range,Software,Technology,Medical Information Sys,
EFC US,Ellington Financial Inc,101.25,,,0.9,16.486,22.5,-3.333333254,370.94,10/8/10,28852N109,-4.9,4.96E+07,"22.00
 - 24.00
",Priced Within Range,REITS,Financial,REITS-Mortgage,54.7046
1450326D US,Sutherland Asset Management Corp/Old,100,-5.9,1.3,0.2,0,0,,0, ,86933F305,,200, ,,REITS,Financial,REITS-Mortgage,0.000559861
ACOM US,Ancestry.com Inc,100,10.2,4.3,13,42.4029,13.5,5.185184956,572.44,11/5/09,32803108,,1.08E+06,"12.50
 - 14.50
",Priced Within Range,Internet,Communications,Internet Content-Entmnt,2.50126
LORA US,Ellora Energy Inc,100,,,,0,0,,0, ,28905P309,,, ,,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
XRDC US,Crossroads Capital Inc,99.6,261.9,-11624.6,-37,9.284,9.96,-33.73574448,92.47,5/26/10,227656105,0.6,,"10.00
 - 10.00
",Priced Below Range,Investment Companies,Financial,Investment Companies,
HPRT US,HealthPort Inc,96,83.8,-26.4,,22.5093,0,,0, ,42225Q103,,,"14.00
 - 16.00
",,Software,Technology,Medical Information Sys,
CALX US,Calix Inc,94.61,-20,-3.5,-3.1,36.2975,13,16.15384674,471.87,3/24/10,13100M509,1,6.56E+07,"11.00
 - 13.00
",Priced Within Range,Telecommunications,Communications,Networking Products,98.3862
1937324D US,Myriad RBM Inc,90,,,,0,0,,0,11/9/10,781365101,,, ,,Commercial Services,"Consumer, Non-cyclical",Commercial Services,
GEGSQ US,Global Geophysical Services Inc,90,-14.9,-53.1,-50.8,35.8776,12,0,430.53,4/22/10,37946S107,1.5,,"15.00
 - 17.00
",Priced Below Range,Oil&Gas Services,Energy,Seismic Data Collection,
AVEO US,AVEO Pharmaceuticals Inc,89.7169,602.6,-126.1,-27.6,29.644,9,-0.1111111119,266.8,3/12/10,53588307,-1.7,920358,"13.00
 - 15.00
",Priced Below Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,2.64751
1433900D US,BancTec Inc,82.3474,,,,23.1341,0,,0,5/13/11,59784405,,,"8.00
 - 10.00
",,Diversified Finan Serv,Financial,Finance-Other Services,
GCAP US,GAIN Capital Holdings Inc,81.9,-34.3,-25.7,4.4,31.2458,9,-1.666666627,281.21,12/15/10,36268W100,3.3,,"13.00
 - 15.00
",Priced Below Range,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,
ALDH US,Aldagen Inc,80.5,-15.2,-5698.9,,0,0,,0,4/5/11,01408L109,,, ,,Healthcare-Products,"Consumer, Non-cyclical",Medical Products,
CDXS US,Codexis Inc,78,-15.3,-109.9,-45.7,33.9771,13,2,441.7,4/22/10,192005106,-0.6,7.42E+07,"13.00
 - 15.00
",Priced Within Range,Chemicals,Basic Materials,Chemicals-Diversified,89.5932
MERU US,Meru Networks Inc,75.6718,-14,-22.9,-50.4,14.8982,15,27.79999924,223.47,3/31/10,59047Q103,-0.5,,"13.00
 - 15.00
",Priced Within Range,Telecommunications,Communications,Networking Products,
3372292Z US,Cell-Nique Corp,75,,,,20,0,,0, ,N.A.,,,"5.00
 - 5.00
",,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,
ALIM US,Alimera Sciences Inc,72.05,49.1,-24.9,-9.6,31.0511,11,0,341.56,4/22/10,16259202,-0.5,3.58E+06,"15.00
 - 17.00
",Priced Below Range,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,6.58831
1853195D US,OpenTable Inc,69,17.5,17.5,8,22.0546,20,59.45000076,441.09,5/21/09,68372A104,2.8,,"16.00
 - 18.00
",Priced Above Range,Internet,Communications,E-Commerce/Services,
TNAV US,Telenav Inc,64.4,22.2,-0.3,-2.1,41.924,8,22.5,335.39,5/13/10,879455103,0.5,,"9.00
 - 10.00
",Priced Below Range,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,
RLOC US,Reachlocal Inc,62.2921,-19.4,-16,-35,27.7633,13,15.23076916,360.92,5/20/10,75525F104,-0.6,,"17.00
 - 19.00
",Priced Below Range,Internet,Communications,E-Marketing/Info,
1762363D US,Sotera Defense Solutions Inc,59.8,,,5.3,9.03643,13,0.6153846383,117.47,11/20/09,37950B107,,,"14.00
 - 16.00
",Priced Below Range,Internet,Communications,Internet Security,
SPSC US,SPS Commerce Inc,56.5343,18.7,12,8.3,11.5354,12,13.33333302,138.42,4/22/10,78463M107,4.2,4.09E+07,"11.00
 - 13.00
",Priced Within Range,Software,Technology,Enterprise Software/Serv,107.489
CRMUQ US,Crumbs Bake Shop Inc,54.563,9.7,-32.3,-76.3,5.4563,10,0,54.563,5/20/10,228803201,-0.6,,"10.00
 - 10.00
",Priced Within Range,Food,"Consumer, Non-cyclical",Food-Baking,
ADUS US,Addus HomeCare Corp,54,9,6.3,6,10.4963,10,-15.10000038,104.96,10/28/09,6739106,6.8,1.99E+07,"11.00
 - 13.00
",Priced Below Range,Healthcare-Services,"Consumer, Non-cyclical",Medical-Outptnt/Home Med,109.602
PMIC US,Penn Millers Holding Corp,54,,,-1.5,0,10,7.5,0,10/19/09,707561106,,,"10.00
 - 10.00
",Priced Within Range,Insurance,Financial,Property/Casualty Ins,
TSRX US,Trius Therapeutics LLC,53.75,-33.7,-198.3,-81.5,24.3046,5,0,121.52,8/3/10,89685K100,-1.3,,"5.00
 - 5.00
",Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,
NCB US,Nuveen California Municipal Value Fund 2,49.2135,,,,0,15,0,0,4/28/09,6706EB106,,150855,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,4.56727
OBAF US,OBA Financial Services Inc,46.2875,1.3,6.6,0.2,0,10,3.900000095,0,1/22/10,67424G101,0.7,,"10.00
 - 10.00
",Priced Within Range,Banks,Financial,Commer Banks-Eastern US,
ANTH US,Anthera Pharmaceuticals Inc,46.2314,,,-144.3,21.587,7,0.1428571492,151.11,3/1/10,03674U300,-3.5,307,"7.00
 - 7.00
",Priced Within Range,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,0.00117268
0769929D US,XStream Systems Inc,40,,,,2.86504,0,,0,11/12/10,98418X107,,,"4.00
 - 8.00
",,Electronics,Industrial,Identification Sys/Dev,
NYV US,Nuveen New York Municipal Value Fund 2,35.1,,,,0,15,0,0,4/28/09,670706100,,165921,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,7.06164
TNGNQ US,Tengion Inc,30,,,-310.5,12.3535,5,0.400000006,61.77,4/9/10,88034G208,-4.2,,"5.00
 - 5.00
",Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,
TFDI US,Film Department Holdings Inc/The,30,,-24.7,,14.9231,0,,0,8/4/10,317219103,,,"6.00
 - 6.00
",,Entertainment,"Consumer, Cyclical",Motion Pictures&Services,
AFCB US,Athens Bancshares Corp,26.7725,7,18.1,,0,10,16,0,1/7/10,47042106,,, ,,Savings&Loans,Financial,S&L/Thrifts-Southern US,
WSR US,Whitestone REIT,26.4,4.9,23.9,3.2,5.68703,12,-4.166666508,68.24,8/26/10,966084204,1.1,3.91E+07,"14.00
 - 16.00
",Priced Below Range,REITS,Financial,REITS-Shopping Centers,76.7746
NJV US,Nuveen New Jersey Municipal Value Fund,23.3068,,,,0,15,0,0,4/28/09,670702109,,67951,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,4.4577
ISE CN,ISE Ltd,19.4207,,,,9.57953,6,-3.333333254,54.7095, ,N.A.,,92200, ,,Hand/Machine Tools,Industrial,Machinery-Electrical,0.600548
CLPT US,ClearPoint Neuro Inc,18.375,31,-60.2,-46.2,11.8133,0,,0, ,18507C103,-0.3,1.03E+07,"5.00
 - 5.00
",,Healthcare-Products,"Consumer, Non-cyclical",Medical Products,36.8432
NPN US,Nuveen Pennsylvania Municipal Value Fund,18.012,,,,0,15,0.06666667014,0,4/28/09,67074K105,,64649,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,5.30249
CRMD/U US,CorMedix Inc,12.5125,,-41.2,-17.8,11.4146,6.5,1.538461566,74.19,3/25/10,21900C209,-0.8,,"6.00
 - 8.00
",Priced Within Range,Pharmaceuticals,"Consumer, Non-cyclical",Therapeutics,
NEGG US,Newegg Commerce Inc,12,-12.9,-3.9,-11.3,4.5,8,57.25,36,4/22/10,N.A.,-0.2,85244.4,"8.00
 - 8.00
",Priced Within Range,Internet,Communications,E-Commerce/Products,0.448168
HARI US,Harvard Illinois Bancorp Inc,10.35,-8.9,11.5,,0,10,0,0,4/9/10,417429107,1.8,,"10.00
 - 10.00
",Priced Within Range,Banks,Financial,Commer Banks-Central US,
VERF US,Versailles Financial Corp,5.75,,37.6,0.2,0,0,,0,1/6/10,925138109,3.2,,"10.00
 - 10.00
",,Savings&Loans,Financial,S&L/Thrifts-Central US,
3337375Z CN,Vuzix Corp,5.36797,-52.5,-1277.9,-117.1,0,0.2,,0, ,92921W201,,, ,,Computers,Technology,Computers-Other,
0111971D US,CIS World Inc,1.9027,,,,39.5359,0,,0, ,N.A.,,,"0.20
 - 0.20
",,Computers,Technology,Computers-Peripher Equip,
MMED US,Midas Medici Group Holdings Inc,1.28,73.7,-11.1,-21.5,2.61052,5,0,13.05,2/25/10,59564J102,-0.3,,"5.00
 - 6.00
",Priced Within Range,Energy-Alternate Sources,Energy,Energy-Alternate Sources,
VMY US,Van Kampen Municipal Opportunity High Income Fund,1,,,,0,0,,0, ,N.A.,,,"20.00
 - 20.00
",,Closed-end Funds,Financial,Closed-end Funds,
ADG US,Aberdeen Global Diversified Fixed Income Fund Inc,1,,,,0,0,,0, ,N.A.,,,"25.00
 - 25.00
",,Closed-end Funds,Financial,Closed-end Funds,
MAPS CN,Prostar Holdings Inc,0.17718,9.3,-660.8,-334.4,12,0.1,59.99999619,1.06308, ,74365J102,-0.0367684,, ,,Software,Technology,Computer Software,
PTPF US,All Marketing Solutions Inc,0.12,,,,13.5,0,,0,10/11/12,01663C109,,,"0.03
 - 0.03
",,Diversified Finan Serv,Financial,Finance-Other Services,
