Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
1471572D US,JBS USA Holding Lux Sarl,2000,,,,0,0,,0, ,N.A.,,, ,,Food,"Consumer, Non-cyclical",Food-Meat Products,
H US,Hyatt Hotels Corp,1092.5,-0.2,19.4,9.9,173.74,25,12,4343.5,11/5/09,448579102,6.3,5.18E+07,"23.00
 - 26.00
",Priced Within Range,Lodging,"Consumer, Cyclical",Hotels&Motels,123.596
CIEIQ US,Cobalt International Energy Inc,958.203,220.6,-1796.7,-50.6,344.143,13.5,0,4645.93,12/16/09,19075F304,-8.2,323907,"15.00
 - 17.00
",Priced Below Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,1.0824
STWD US,Starwood Property Trust Inc,931.5,-4.8,15.1,0.5,48.4575,20,0,969.15,8/12/09,85571B105,2,1.79E+08,"20.00
 - 20.00
",Priced Within Range,REITS,Financial,REITS-Mortgage,53.1377
DG US,Dollar General Corp,823.515,4.9,2.7,3.6,340.645,21,8.238095284,7153.55,11/13/09,256677105,13.6,2.36E+08,"21.00
 - 23.00
",Priced Within Range,Retail,"Consumer, Cyclical",Retail-Discount,107.143
COLD US,Americold Realty Trust Inc,660,-0.2,-3.5,-1.2,132.371,0,,0,12/1/10,03064D108,1.4,3.39E+08,"9.00
 - 11.00
",,REITS,Financial,REITS-Warehouse/Industr,119.022
9876599D US,Sensata Technologies Holding NV,654.12,,,,171.159,18,2.777777672,3080.86,3/11/10,N.A.,,,"18.00
 - 20.00
",Priced Within Range,Electronics,Industrial,Instruments-Controls,
1306395D US,Callahan Capital Properties Inc,500,,,,0,0,,0,9/7/10,131013104,,, ,,Private Equity,Financial,Private Equity,
FSQR US,Foursquare Capital Corp,500,,,,27.1625,0,,0, ,35104C104,,,"20.00
 - 20.00
",,REITS,Financial,REITS-Mortgage,
3355364Z US,Transwestern Realty Finance Inc,500,,,,0,0,,0, ,894064104,,, ,,REITS,Financial,REITS-Mortgage,
BAY US,Bayview Mortgage Capital Inc,500,,,,0,0,,0, ,N.A.,,, ,,REITS,Financial,REITS-Mortgage,
BAY US,Brookfield Realty Capital Corp,500,,,,0,0,,0, ,,,, ,,,,,
CLDPQ US,Cloud Peak Energy Inc,459,-6.2,-86.2,-134.9,31.431,15,-1.066666722,471.47,11/20/09,18911Q102,0.2,1390,"16.00
 - 18.00
",Priced Below Range,Coal,Energy,Coal,0.0018168
1544310D US,Dole Food Co Inc,446.438,-2.9,-0.5,-1.6,87.425,12.5,-1.75999999,1092.81,10/23/09,256603101,,,"13.00
 - 15.00
",Priced Below Range,Food,"Consumer, Non-cyclical",Food-Misc/Diversified,
WSTC US,Intrado Corp,425.5,0.5,8.4,6.1,83.4224,20,-5.699999809,1668.45,3/22/13,952355204,5.1,12769,"22.00
 - 25.00
",Priced Below Range,Software,Technology,Communications Software,0.0152629
SYA US,Symetra Financial Corp,419.52,18.3,-3.4,0.4,117.989,12,6.25,1415.87,1/22/10,87151Q106,9.8,,"12.00
 - 14.00
",Priced Within Range,Insurance,Financial,Life/Health Insurance,
PEB US,Pebblebrook Hotel Trust,402.5,2.3,-0.2,-0.0736566,20.275,20,2.25,405.5,12/9/09,70509V100,2.3,1.54E+08,"20.00
 - 20.00
",Priced Within Range,REITS,Financial,REITS-Hotels,129.616
1824883D US,Ladder Capital Realty Finance Inc,400,,,,25.646,0,,0, ,N.A.,,,"20.00
 - 20.00
",,REITS,Financial,REITS-Mortgage,
LLS US,Language Line Services Holdings Inc,400,37,-5.9,,0,0,,0,4/29/13,N.A.,,, ,,Commercial Services,"Consumer, Non-cyclical",Consulting Services,
1411201D US,Halvern Realty Inc,400,,,,0,0,,0,10/14/10,N.A.,,, ,,Real Estate,Financial,Real Estate Oper/Develop,
0205487D US,Trian Capital Corp,400,,,,0,0,,0, ,89583F104,,,"15.00
 - 15.00
",,Investment Companies,Financial,Investment Companies,
JLS US,Nuveen Mortgage and Income Fund,395,,,,0,25,0,0,11/25/09,670735109,,2.94E+06,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,53.6629
PRI US,Primerica Inc,368.46,9.7,15.2,3.1,75,15,31,1125,4/1/10,74164M108,25.2,3.42E+07,"12.00
 - 14.00
",Priced Above Range,Insurance,Financial,Life/Health Insurance,103.312
3415945Z US,Birds Eye Foods Inc,350,,,,0,0,,0, ,90829102,,, ,,Food,"Consumer, Non-cyclical",Food-Misc/Diversified,
KAR US,OPENLANE Inc,331.873,8.7,6.1,2.3,27.656,12,0.25,331.87,12/11/09,48238T109,2,1.15E+08,"15.00
 - 17.00
",Priced Below Range,Distribution/Wholesale,"Consumer, Cyclical",Distribution/Wholesale,107.219
1467202D US,RailAmerica Inc,330,,,-0.4,54.3469,15,-8.333333015,815.2,10/13/09,750753402,,,"16.00
 - 18.00
",Priced Below Range,Transportation,Industrial,Transport-Rail,
UMM US,MacroShares Major Metro Housing Up Shares,330,,,,0,0,,0, ,55610R106,,,"13.20
 - 16.50
",,Real Estate Fund,Funds,Real Estate,
PMT US,PennyMac Mortgage Investment Trust,320,-9.9,15.3,1.1,16.7353,20,-4.5,334.71,7/30/09,70931T103,-31.1,6.56E+07,"20.00
 - 20.00
",Priced Within Range,REITS,Financial,REITS-Mortgage,75.4791
EOT US,Eaton Vance National Municipal Opportunities Trust,305,,,,0,20,0,0,5/27/09,27829L105,,2.98E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,19.0806
GDO US,Western Asset Global Corporate,302,,,,15.1,20,0.150000006,302,11/24/09,95790C107,,3.34E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,44.4531
RYI US,Ryerson Holding Corp,300,-9.9,-0.1,-0.3,0,0,,0,11/17/10,783754104,6.1,3.15E+07, ,,Metal Fabricate/Hardware,Industrial,Metal Products-Distrib,98.941
1680300D US,Sanford Energy Inc,300,,,,0,0,,0,6/18/10,83445A106,,, ,,Energy-Alternate Sources,Energy,Energy-Alternate Sources,
3342974Z US,AG Financial Investment Trust Inc,300,,,,0,0,,0, ,N.A.,,, ,,REITS,Financial,REITS-Diversified,
3380294Z US,Marathon Real Estate Mortgage Trust,300,,,,0,0,,0, ,N.A.,,, ,,REITS,Financial,REITS-Mortgage,
NBP US,National Beef Inc,293.25,-6.8,2.6,,17.25,0,,0, ,63486R101,,,"15.00
 - 17.00
",,Food,"Consumer, Non-cyclical",Food-Meat Products,
IFR US,InfrastruX Group Inc,290,25.8,-4.4,,0,0,,0, ,N.A.,1.1,, ,,Engineering&Construction,Industrial,Building&Construct-Misc,
NEV US,Nuveen Enhanced Municipal Value Fund,288,,,,0,15,0.06666667014,0,9/25/09,67074M101,,1.05E+06,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,4.19578
1627503D US,Colony Capital Inc/Old,287.5,180,17.8,1.5,14.631,20,-2.5,292.62,9/24/09,19624R106,3.3,,"20.00
 - 20.00
",Priced Within Range,REITS,Financial,REITS-Mortgage,
STK US,Columbia Seligman Premium Technology Growth Fund Inc,286,,,,0,20,0.05000000075,0,11/25/09,19842X109,,2.47E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,14.3389
1864100D US,Pyramid Hotels & Resorts Inc,275,,,,0,0,,0,6/11/10,747146108,,, ,,Lodging,"Consumer, Cyclical",Hotels&Motels,
GNRC US,Generac Holdings Inc,269.107,6.7,7.3,6.2,67.5293,13,-1.230769277,877.88,2/11/10,368736104,12.4,5.81E+07,"15.00
 - 17.00
",Priced Below Range,Electrical Compo&Equip,Industrial,Power Conv/Supply Equip,97.5246
RET US,Global Real Estate Opportunity Trust,250,,,,0,0,,0, ,37949J104,,,"20.00
 - 20.00
",,Closed-end Funds,Financial,Closed-end Funds,
TLG US,Telegent Systems Inc,250,149.7,32.9,,0,0,,0,5/6/10,N.A.,,, ,,Semiconductors,Technology,Electronic Compo-Semicon,
1645863D US,PlainsCapital Corp,240,,8,1.5,44.1017,0,,0, ,726631104,-4.5,,"14.00
 - 16.00
",,Banks,Financial,Commer Banks-Central US,
MTT US,Western Asset Municipal Defined Opportunity Trust Inc,238.2,,,,0,20,0,0,3/27/09,95768A109,,755179,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,6.18977
OPI US,Office Properties Income Trust,230,-5.9,-27.1,-3.4,21.45,20,-2.650000095,429,6/3/09,67623C109,1.3,3.90E+07,"20.00
 - 22.00
",Priced Within Range,REITS,Financial,REITS-Office Property,55.9138
1899192D US,Baltic Trading Ltd,228.2,26.5,-44.5,-10.8,16.766,14,-0.2857142985,234.72,3/10/10,N.A.,0.0194589,,"14.00
 - 16.00
",Priced Within Range,Transportation,Industrial,Transport-Marine,
IRWD US,Ironwood Pharmaceuticals Inc,215.625,-20.6,0.2,0.2,97.4129,11.25,3.555555582,1095.9,2/3/10,46333X108,0.6,1.58E+08,"14.00
 - 16.00
",Priced Below Range,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,97.6233
IGI US,Western Asset Investment Grade,210.398,,,,0,20,0,0,6/26/09,95790A101,,3.71E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,61.9738
EXL US,Excel Trust Inc,210,15.8,6.7,1.8,15.6049,14,-5,218.47,4/23/10,30068C109,1,192000,"16.00
 - 18.00
",Priced Below Range,REITS,Financial,REITS-Shopping Centers,0.297641
DMO US,Western Asset Mortgage Opportu,206.906,,,,0,20,0.200000003,0,2/24/10,95790B109,,3.24E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,28.4422
FCRD US,First Eagle Alternative Capita,203.381,11.7,-112.6,-10.2,19.7919,13,-1.923076868,257.29,4/22/10,26943B100,0.5,2.04E+06,"15.00
 - 15.00
",Priced Below Range,Investment Companies,Financial,Investment Companies,6.82284
PDM US,Piedmont Office Realty Trust Inc,200.1,-1.2,-13.8,-1.9,53.5292,14.5,7.586206913,776.17,2/10/10,720190206,1.6,1.17E+08,"16.00
 - 18.00
",Priced Below Range,REITS,Financial,REITS-Office Property,94.1518
3428753Z US,Remington Outdoor Co Inc,200,6.9,2.1,-7,0,0,,0, ,75959V104,60.4,, ,,Miscellaneous Manufactur,Industrial,Firearms&Ammunition,
NRH US,NorthStar Healthcare Investors Inc,200,,,,0,0,,0,12/3/10,N.A.,,, ,,REITS,Financial,REITS-Health Care,
CXS US,Annaly Commercial Real Estate Group Inc,200,-27.1,77.6,7,18.1111,15,-2.466666698,271.67,9/17/09,226553105,0.6,,"15.00
 - 15.00
",Priced Within Range,REITS,Financial,REITS-Mortgage,
ARI US,Apollo Commercial Real Estate Finance Inc,200,-17.1,-18.6,-1.3,21.525,20,-7.5,430.5,9/24/09,03762U105,1.4,9.44E+07,"20.00
 - 20.00
",Priced Within Range,REITS,Financial,REITS-Mortgage,67.9794
