Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
4620931Z US,Inland Diversified Real Estate Trust Inc,5000,296.2,-3.1,-0.1,0,0,,0, ,457345106,0.6,,"10.00
 - 10.00
",,REITS,Financial,REITS-Diversified,
CCPT US,Cole Credit Property Trust IV Inc,2500,-4.1,44.2,3.6,0,0,,0, ,19326U100,0.6,,"10.00
 - 10.00
",,REITS,Financial,REITS-Shopping Centers,
HMSI US,MSC Income Fund Inc,1500,,,,0,0,,0, ,40427D102,,,"10.00
 - 10.00
",,Investment Companies,Financial,Investment Companies,
0115098D US,Independence Mortgage Trust Inc,1500,,,,0,0,,0, ,N.A.,,,"10.00
 - 10.00
",,REITS,Financial,REITS-Mortgage,
0053366D US,Inland Core Assets Real Estate Trust Inc,1500,,,,0,0,,0, ,N.A.,,,"10.00
 - 10.00
",,REITS,Financial,REITS-Diversified,
PACDQ US,Pacific Drilling SA,1500,-13.2,-242.1,-22.6,210,10,-17.5,2100,4/5/11,N.A.,-0.9,2.54E+06,"9.85
 - 10.50
",Priced Within Range,Oil&Gas,Energy,Oil&Gas Drilling,3.37469
CZMR US,Carter Validus Mission Critical REIT Inc,1500,-40.3,-7,0.9,0,0,,0, ,146282108,0.1,,"10.00
 - 10.00
",,REITS,Financial,REITS-Diversified,
1910 HK,Samsonite International SA,1296.34,-2.5,9.6,6.7,1407.14,14.5,-7.724137783,2621.24,6/16/11,N.A.,0.3,1.54E+09,"14.50
 - 15.50
",Priced Within Range,Apparel,"Consumer, Cyclical",Apparel Manufacturers,111.662
9992011D US,FTS International Inc,1150,-66.1,-14.3,18.7,0,0,,0, ,30283W203,-3.1,2.72E+06, ,,Oil&Gas Services,Energy,Oil-Field Services,50.5472
FSK US,FS KKR Capital Corp,1065,-5.9,33.9,3.9,0,0,,0, ,302635206,6.7,8.31E+07,"10.65
 - 10.65
",,Investment Companies,Financial,Investment Companies,29.6827
AVYAQ US,Avaya Holdings Corp,1000,-16.2,-84.1,-45,0,0,,0, ,05351X101,-3.6,1.14E+07, ,,Software,Technology,Communications Software,13.0692
ZNGA US,Zynga Inc,1000,41.8,-3.7,-1.7,100,10,-5,1000,12/16/11,98986T108,0.2,1.73E+08,"8.50
 - 10.00
",Priced Within Range,Software,Technology,Entertainment Software,15.2349
AL US,Air Lease Corp,922.876,1.8,15.6,1.3,93.8468,26.5,5.471698284,2486.94,4/19/11,00912X302,15,1.15E+08,"25.00
 - 28.00
",Priced Within Range,Diversified Finan Serv,Financial,Finance-Leasing Compan,102.873
9808689Z US,CM REIT Inc,900,,,,0,0,,0, ,N.A.,,,"10.00
 - 10.00
",,REITS,Financial,REITS-Mortgage,
FSL US,Freescale Semiconductor Ltd,883.206,10.7,5.4,10.3,245.427,18,1.833333373,4417.69,5/26/11,N.A.,1.6,104657,"18.00
 - 20.00
",Priced Within Range,Semiconductors,Technology,Electronic Compo-Semicon,0.0336158
MPM US,Hexion Topco LLC,862.5,82.7,-6,,0,0,,0, ,N.A.,1.7,, ,,Chemicals,Basic Materials,Chemicals-Specialty,
MTBLY US,Moatable Inc,854.91,21.8,-3.3,-1.4,61.065,14,28.6428566,854.91,5/4/11,759892300,-0.00326753,67267,"12.00
 - 14.00
",Priced Within Range,Software,Technology,Applications Software,0.479242
GRPN US,Groupon Inc,805,-4.3,-11.9,-9.9,640.653,20,30.54999924,12813.1,11/4/11,399473206,1.4,3.42E+07,"16.00
 - 18.00
",Priced Above Range,Internet,Communications,E-Commerce/Services,85.8656
MPT US,Morgan Properties Trust,800,47.2,42.1,,0,0,,0, ,N.A.,,, ,,REITS,Financial,REITS-Diversified,
9890048Z US,VII Peaks Co-Optivist Income BDC II Inc,761.25,,,,0,0,,0, ,N.A.,,,"10.15
 - 10.15
",,Investment Companies,Financial,Investment Companies,
WPX US,WPX Energy Inc,750,22.1,10.5,-11.8,0,0,,0, ,98212B103,2.9,, ,,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
DPG US,Duff & Phelps Utility and Infrastructure Fund Inc,735,,,,0,20,0,0,7/27/11,26433C105,,9.82E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,26.7065
