Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
AOD US,abrdn Total Dynamic Dividend F,3715.91,,,,0,20,2.5,0,1/26/07,00326L100,,5.12E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,48.5516
ETY US,Eaton Vance Tax-Managed Diversified Equity Income Fund,2860,,,,0,20,0,0,11/28/06,27828N102,,3.72E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,23.6403
SPR US,Spirit AeroSystems Holdings Inc,1646.99,4.4,-33.8,-31.2,63.3458,26,11.53846169,1646.99,11/21/06,848574109,-9.6,1.17E+08,"23.00
 - 25.00
",Priced Above Range,Aerospace/Defense,Industrial,Aerospace/Defense,99.371
DEI US,Douglas Emmett Inc,1593.9,-3.3,2.3,0.2,114.283,21,12.61904716,2399.94,10/24/06,25960P109,2.4,1.96E+08,"19.00
 - 21.00
",Priced Within Range,REITS,Financial,REITS-Office Property,117.199
HRI US,Herc Holdings Inc,1323.53,8.7,5.9,2.8,320.619,15,130,4809.29,11/15/06,42704L104,43.1,3.25E+07,"16.00
 - 18.00
",Priced Below Range,Commercial Services,"Consumer, Non-cyclical",Rental Auto/Equipment,114.22
BTZ US,BlackRock Credit Allocation Income Trust,1293.75,,,,0,25,0,0,12/22/06,92508100,,3.76E+07,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,40.288
IBKR US,Interactive Brokers Group Inc,1200.4,20.5,8,0.5,40.2007,30.01,4.298566341,1206.42,5/4/07,45841N107,80.6,1.08E+08,"27.00
 - 31.00
",Priced Within Range,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,98.985
RECSI NO,REC Silicon ASA,1141.72,,-324.8,-126.1,494.089,95,23.15789413,7693.22,5/9/06,N.A.,-0.3,3.42E+07,"88.00
 - 95.00
",,Semiconductors,Technology,Electronic Compo-Semicon,8.14061
GLO US,Clough Global Opportunities Fund,1027,,,,0,20,0.150000006,0,4/26/06,1.89E+110,,1.91E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,44.5782
DHG US,Deutsche High Income Opportunities Fund Inc,1020,,,,0,20,0.25,0,11/22/06,25158Y102,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
NCMI US,National CineMedia Inc,882,45.7,-9.2,-3.9,38,21,22.23809433,798,2/7/07,635309206,0.6,8.37E+07,"18.00
 - 20.00
",Priced Above Range,Advertising,Communications,Advertising Services,87.9263
BCF US,BlackRock Real Asset Equity Trust,802.5,,,,0,15,0.06666667014,0,9/27/06,09254B109,,,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
2060389D US,Fortress Investment Group LLC,729.435,-4.1,8.1,8.5,89.3575,18.5,67.56756592,1653.11,2/9/07,34958B106,1.1,,"16.50
 - 18.50
",Priced Within Range,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,
1899786D US,Intact Insurance Group USA Holdings Inc,690,0.6,8.9,1.8,24,25,4.039999962,600,11/9/06,N.A.,0.5,8290,"24.00
 - 26.00
",Priced Within Range,Insurance,Financial,Property/Casualty Ins,0.0360645
0000543D US,NTK Holdings Inc,690,,,-37.7,0,0,,0, ,6.29E+105,,, ,,Building Materials,Industrial,Bldg&Construct Prod-Misc,
NXDT US,NexPoint Diversified Real Esta,690,,-185.2,-10.5,0,20,0,0,6/23/06,65340G205,-0.6,2.23E+07,"20.00
 - 20.00
",Priced Within Range,REITS,Financial,REITS-Diversified,50.0336
CLWR US,Clearwire Corp,600,0.9,-57.6,-9.4,133.325,25,-1.519999981,3333.12,3/8/07,18538Q105,-0.8,,"23.00
 - 25.00
",Priced Within Range,Telecommunications,Communications,Telecom Services,
KBR US,KBR Inc,544.272,11.3,4.8,6.1,167.643,17,22.05882263,2849.93,11/16/06,48242W106,3.4,1.39E+08,"15.00
 - 17.00
",Priced Within Range,Computers,Technology,Computer Services,107.177
2536085D US,Vonage Holdings Corp,531.25,12.9,-1.7,-2.9,155.732,17,-12.64705849,2647.44,5/24/06,92886T201,0.6,,"16.00
 - 18.00
",Priced Within Range,Telecommunications,Communications,Telecom Services,
GLG/U US,GLG Partners Inc,528,,,-69.2,64.8,10,0,648,12/22/06,37929X206,,,"10.00
 - 10.00
",Priced Within Range,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,
EIG US,Employers Holdings Inc,522.963,3.4,13.4,3.3,52.7152,17,17.47058868,896.16,1/31/07,292218104,3,2.19E+07,"14.00
 - 16.00
",Priced Above Range,Insurance,Financial,Property/Casualty Ins,90.1522
FOF US,Cohen & Steers Closed-End Opportunity Fund Inc,500.647,,,,0,20,0.5,0,11/21/06,19248P106,,5.61E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,20.6138
1619058D US,Burger King Holdings Inc,488.75,-6.6,4.5,2.5,136.799,17,2.941176414,2325.58,5/18/06,121208201,,,"15.00
 - 17.00
",Priced Within Range,Retail,"Consumer, Cyclical",Retail-Restaurants,
2436735D US,Goodman Global Inc,487.059,,,4.1,68.8898,18,11.38888931,1240.02,4/6/06,38239A100,,,"16.00
 - 18.00
",Priced Within Range,Building Materials,Industrial,Bldg Prod-Air&Heating,
VSUNQ US,VeraSun Energy Corp,482.712,,,-18.7,74.7374,23,30.43478203,1718.96,6/14/06,92336G106,,,"21.00
 - 22.00
",Priced Above Range,Energy-Alternate Sources,Energy,Energy-Alternate Sources,
