Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
META US,Meta Platforms Inc,16006.9,21.9,37.9,24.6,2138.08,38,0.6100329161,81247.2,5/18/12,30303M102,36,1.80E+09,"34.00
 - 38.00
",Priced Within Range,Internet,Communications,Internet Content-Entmnt,82.4033
PCI US,PIMCO Dynamic Credit and Mortgage Income Fund,3430.11,,,,0,25,0,0,1/29/13,72202D106,,7.05E+06,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,4.56343
ASN US,Archstone Inc,3400,7.2,-3.7,,0,0,,0, ,N.A.,,, ,,REITS,Financial,REITS-Apartments,
ZTS US,Zoetis Inc,2574.39,8.3,26.8,17.4,99.015,26,19.26922989,2574.39,2/1/13,98978V103,6.5,4.53E+08,"22.00
 - 25.00
",Priced Above Range,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,101.628
BTT US,BlackRock Municipal 2030 Target Term Trust,1782.5,,,,0,25,0,0,8/29/12,09257P105,,2.50E+07,"25.00
 - 25.00
",Priced Within Range,Municipal,Government,US Municipals,38.1632
0120475D US,Griffin-American Healthcare REIT II Inc,1652.25,365.9,-14.2,-0.4,0,0,,0, ,398179101,0.3,,"10.22
 - 10.22
",,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,
0210363D US,FoundationsAmerica Strategic Income Corp,1500,,,,400,0,,0,1/10/13,N.A.,,,"10.00
 - 10.00
",,Closed-end Funds,Financial,Closed-end Funds,
VOYA US,Voya Financial Inc,1461.94,9.5,8.2,0.4,260.73,19.5,6.871794701,5084.24,5/2/13,929089100,13.5,1.05E+08,"21.00
 - 24.00
",Priced Below Range,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,109.322
LNCOQ US,LinnCo LLC,1269.74,,,-220.3,30.25,36.5,4.821918011,1104.12,10/12/12,535782106,0.9,, ,,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
HOUS US,Anywhere Real Estate Inc,1242,0.9,-2.2,-2.2,130.153,27,26.66666603,3514.13,10/11/12,75605Y106,0.9,1.10E+08,"23.00
 - 27.00
",Priced Within Range,Real Estate,Financial,Real Estate Mgmnt/Servic,98.6522
NML US,Neuberger Berman Energy Infras,1154.8,,,,0,20,0.6999999881,0,3/26/13,64129H104,,2.52E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,44.5541
COTY US,Coty Inc,1140,10.1,1.4,0.1,72.219,17.5,-0.8000000119,1263.83,6/13/13,222070203,0.7,3.70E+08,"16.50
 - 18.50
",Priced Within Range,Cosmetics/Personal Care,"Consumer, Non-cyclical",Cosmetics&Toiletries,42.434
PDI US,Pimco Dynamic Income Fund,1126.46,,,,0,25,0,0,5/25/12,72201Y101,,5.09E+07,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,13.5425
ESRT US,Empire State Realty Trust Inc,1068.93,3.8,6.7,1.1,100.118,13,0.769230783,1301.53,10/2/13,292104106,1.5,1.40E+08,"13.00
 - 15.00
",Priced Within Range,REITS,Financial,REITS-Office Property,84.0522
0564893D US,AIP Macro Registered Fund P,1030,,,,0,0,,0, ,N.A.,,,"1,030.00
 - 1,030.00
",,Closed-end Funds,Financial,Closed-end Funds,
0203654D US,Moody National REIT I Inc,1000,18.7,-6.7,-1.3,0,0,,0, ,N.A.,0.4,,"10.00
 - 10.00
",,REITS,Financial,REITS-Diversified,
0564897D US,AIP Macro Registered Fund A,1000,,,,0,0,,0, ,N.A.,,,"1,000.00
 - 1,000.00
",,Closed-end Funds,Financial,Closed-end Funds,
BGB US,Blackstone Strategic Credit 2027 Term Fund,892.1,,,,0,20,0,0,9/26/12,09257R101,,2.48E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,55.5119
0275581D US,Chesapeake Oilfield Services Inc,862.5,59.7,1.5,,0,0,,0, ,N.A.,,, ,,Oil&Gas Services,Energy,Oil-Field Services,
FEI US,First Trust MLP and Energy Income Fund,830,,,,0,20,-0.1000000015,0,11/28/12,33739B104,,3.39E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,7.48778
GHY US,PGIM Global High Yield Fund Inc,818.04,,,,0,20,0.25,0,12/21/12,69346J106,,2.36E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,57.6823
PRKS US,United Parks & Resorts Inc,807.3,-0.0744822,13.1,8.7,92.737,27,24.14814758,2503.9,4/19/13,81282V100,8,7.29E+07,"24.00
 - 27.00
",Priced Within Range,Entertainment,"Consumer, Cyclical",Resorts/Theme Parks,132.493
0408373D US,AllianceBernstein Multi-Manager Alternative Fund,780,,,,0,0,,0, ,,,,"10.79
 - 10.79
",,,,,
CTR US,ClearBridge MLP & Midstream Total Return Fund Inc,762.484,,,,0,20,0,0,6/27/12,18469Q207,,2.21E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,64.1408
WDAY US,Workday Inc,732.55,16.3,6.2,3,26.1625,28,73.89286041,732.55,10/12/12,98138H101,9.2,2.13E+08,"24.00
 - 26.00
",Priced Above Range,Software,Technology,Enterprise Software/Serv,99.2447
XCAPX US,ACAP Strategic Fund,731.88,,,,0,0,,0, ,843102,,,"10.00
 - 10.00
",,Equity Fund,Funds,Global Equity,
