Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
GNW US,Genworth Financial Inc,2855.58,-2.5,4.1,0.3,146.44,19.5,0,2855.58,5/25/04,37247D106,0.2,3.87E+08,"21.00
 - 23.00
",Priced Below Range,Insurance,Financial,Multi-line Insurance,93.1359
CSQ US,Calamos Strategic Total Return Fund,2107.5,,,,0,15,0,0,3/26/04,128125101,,7.95E+07,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,49.5512
GOOGL US,Alphabet Inc,1916.4,13.8,28.6,23.4,33.6034,85,18.04117584,2856.29,8/19/04,02079K305,10.1,5.00E+09,"85.00
 - 95.00
",Priced Within Range,Internet,Communications,Web Portals/ISP,85.7028
IGD US,Voya Global Equity Dividend and Premium Opportunity Fund,1700,,,,0,20,0.1000000015,0,3/29/05,92912T100,,2.80E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,35.5368
HUN US,Huntsman Corp,1593.01,-1.2,-3.1,-2.6,220.455,23,6.521739006,5070.47,2/11/05,447011107,1.5,1.67E+08,"21.00
 - 23.00
",Priced Within Range,Chemicals,Basic Materials,Chemicals-Diversified,96.1765
JSN US,Nuveen Equity Premium Opportunity Fund,1287.89,,,,0,20,0,0,1/26/05,6706EM102,,, ,,Closed-end Funds,Financial,Closed-end Funds,
ETV US,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,1252,,,,0,20,0,0,6/28/05,27828Y108,,2.14E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,18.3359
1551989D US,NAVTEQ Corp,1012,,,14.7,87.6214,22,15,1927.67,8/5/04,63936L100,,,"20.50
 - 22.50
",Priced Within Range,Software,Technology,Data Processing/Mgmt,
982553Q US,Dex Media Inc/Old,1008.16,3.5,2.8,0.7,150.282,19,2.631578922,2855.36,7/21/04,2.52E+104,3.7,,"23.00
 - 26.00
",Priced Below Range,Media,Communications,Publishing-Periodicals,
EOS US,Eaton Vance Enhanced Equity Income Fund II,943,,,,0,20,0.1000000015,0,1/26/05,278277108,,1.12E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,21.1682
